date,thu,tinh,ngay_text,ky_hieu,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2021-10-28,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 28/10/2021,9MD-3MD-6MD-13MD-11MD-1MD,69,66,50,27,54,53,30,89,31,15,37,38,74,32,68,3,90,4,78,20,94,68,12,20,26,8,31
2021-10-29,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 29/10/2021,1ME-5ME-8ME-6ME-15ME-14ME,35,86,76,7,7,87,71,70,58,86,47,20,42,25,35,81,43,22,41,7,67,31,46,96,9,43,65
2021-10-30,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 30/10/2021,1MF-13MF-14MF-12MF-15MF-7MF,42,99,12,42,27,28,57,44,11,18,79,51,73,53,47,55,60,64,60,87,41,63,53,7,88,55,30
2021-10-31,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 31/10/2021,3MG-7MG-11MG-12MG-9MG-8MG,98,94,80,21,6,76,97,93,79,47,1,97,15,24,63,96,23,41,65,61,26,39,72,62,35,58,65
2021-11-01,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 01/11/2021,4MH-3MH-8MH-10MH-12MH-14MH,58,67,50,89,54,77,31,50,47,4,10,20,40,25,32,22,94,4,85,77,52,49,84,7,84,11,31
2021-11-02,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 02/11/2021,6MK-13MK-3MK-8MK-5MK-14MK,10,84,62,33,57,71,42,47,38,30,55,61,30,13,60,47,79,91,31,25,27,66,50,66,36,96,10
2021-11-03,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 03/11/2021,6ML-9ML-2ML-3ML-1ML-11ML,67,14,4,61,78,24,24,79,74,80,52,50,44,28,47,87,12,76,99,2,50,78,22,91,56,69,39
2021-11-04,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 04/11/2021,9MN-10MN-2MN-14MN-12MN-1MN,48,54,31,83,86,47,14,7,16,97,11,65,10,72,7,27,96,27,7,24,47,94,35,41,45,71,57
2021-11-05,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 05/11/2021,7MP-12MP-1MP-11MP-15MP-8MP-17MP-18MP,52,66,10,87,50,69,89,89,90,76,88,64,97,0,9,47,3,43,88,31,34,75,43,38,2,90,85
2021-11-06,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 06/11/2021,4MQ-14MQ-5MQ-15MQ-10MQ-6MQ,21,54,83,8,80,11,83,72,63,76,32,5,87,10,58,92,28,59,62,37,2,4,83,61,89,3,29
2021-11-07,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 07/11/2021,13MR-12MR-8MR-9MR-1MR-5MR,86,79,11,79,78,80,92,51,53,13,28,61,76,72,10,41,5,72,86,43,31,55,49,76,65,11,75
2021-11-08,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 08/11/2021,10MS-7MS-9MS-6MS-4MS-1MS,72,96,71,1,85,42,56,51,20,46,4,24,72,45,4,71,33,62,35,90,35,39,5,38,60,90,99
2021-11-09,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 09/11/2021,13MT-3MT-2MT-1MT-4MT-5MT,52,13,4,56,76,10,33,67,86,9,2,54,30,25,53,23,18,44,19,47,21,44,19,80,62,37,32
2021-11-10,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 10/11/2021,15MU-7MU-4MU-1MU-11MU-9MU,95,49,32,72,70,32,91,96,0,21,84,6,63,10,75,87,78,63,66,19,67,11,81,71,60,53,76
2021-11-11,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 11/11/2021,1MV-9MV-7MV-4MV-3MV-11MV,22,24,78,49,98,56,74,72,64,68,47,82,18,26,24,61,13,48,34,61,19,20,40,93,4,0,12
2021-11-12,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 12/11/2021,4MX-5MX-13MX-7MX-1MX-15MX,11,30,44,37,63,61,0,71,21,88,88,66,19,7,9,95,5,44,5,57,66,46,23,49,72,93,12
2021-11-13,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 13/11/2021,13MY-15MY-4MY-9MY-12MY-10MY,30,65,45,71,84,88,27,91,63,29,47,58,62,2,88,71,44,15,70,12,99,33,48,20,70,60,83
2021-11-14,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 14/11/2021,13MZ-10MZ-2MZ-12MZ-14MZ-9MZ,40,69,90,13,31,1,50,76,41,0,99,20,3,37,92,28,35,34,12,27,57,40,16,14,16,23,1
2021-11-15,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 15/11/2021,4NA-9NA-6NA-3NA-14NA-5NA,26,72,95,30,71,47,81,97,5,19,55,7,15,46,22,55,75,59,93,31,27,27,73,97,34,27,94
2021-11-16,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 16/11/2021,9NB-6NB-1NB-12NB-13NB-10NB,5,12,60,82,90,46,77,56,37,33,6,74,30,68,0,29,16,21,32,95,59,5,95,46,83,68,30
2021-11-17,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 17/11/2021,5NC-7NC-9NC-14NC-3NC-10NC,42,62,92,10,72,10,84,56,17,21,24,63,44,61,15,46,57,37,32,28,92,29,1,87,23,66,46
2021-11-18,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 18/11/2021,14ND-8ND-2ND-15ND-13ND-11ND,60,65,0,41,55,10,29,6,77,2,3,69,60,82,17,44,89,92,81,6,98,13,96,40,73,53,30
2021-11-19,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 19/11/2021,14NE-9NE-2NE-3NE-1NE-4NE,12,56,92,12,26,87,82,16,8,5,90,99,97,84,50,42,4,86,7,42,22,26,66,3,82,30,28
2021-11-20,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 20/11/2021,8NF-9NF-10NF-2NF-1NF-6NF,44,8,66,34,13,71,89,33,84,62,71,21,16,21,96,73,67,41,73,43,90,6,14,15,66,18,71
2021-11-21,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 21/11/2021,9NG-5NG-8NG-1NG-3NG-13NG,79,77,19,10,69,70,83,30,10,73,15,34,60,73,16,81,15,47,43,6,29,75,63,15,64,68,10
2021-11-22,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 22/11/2021,2NH-14NH-4NH-13NH-5NH-11NH,93,8,92,84,93,31,98,96,91,26,82,93,61,66,26,62,36,1,1,69,39,68,28,38,80,33,47
2021-11-23,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 23/11/2021,15NK-3NK-2NK-9NK-11NK-13NK,80,83,6,11,39,31,74,9,93,37,52,23,17,98,81,89,25,89,17,99,63,16,42,80,39,31,54
2021-11-24,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 24/11/2021,4NL-14NL-10NL-3NL-7NL-8NL,56,30,32,52,69,55,83,45,11,85,71,3,88,23,15,47,6,94,20,92,70,61,87,79,70,40,74
2021-11-25,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 25/11/2021,4NM-3NM-2NM-6NM-14NM-9NM,13,94,24,48,1,57,32,75,84,33,85,1,46,44,95,70,15,36,55,30,92,90,23,52,59,36,55
2021-11-26,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 26/11/2021,14NP-12NP-15NP-2NP-7NP-5NP,10,72,30,61,42,79,74,45,45,46,8,93,41,21,64,67,56,63,95,27,76,32,98,29,72,64,60
2021-11-27,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 27/11/2021,12NQ-14NQ-9NQ-8NQ-2NQ-7NQ,24,9,71,44,17,16,75,95,89,66,84,91,14,85,40,61,98,25,88,44,5,80,44,36,27,73,18
2021-11-28,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 28/11/2021,7NR-5NR-12NR-4NR-14NR-1NR,88,93,90,41,90,67,95,78,6,88,92,57,46,95,16,45,21,43,2,3,94,3,63,0,40,82,69
2021-11-29,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 29/11/2021,13NS-7NS-11NS-6NS-8NS-10NS,87,34,97,24,31,40,27,4,66,13,80,0,20,87,88,43,90,26,75,35,63,10,60,64,21,63,73
2021-11-30,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 30/11/2021,13NT-11NT-4NT-14NT-3NT-5NT,38,79,83,98,76,96,65,43,96,92,27,58,72,81,3,3,50,68,66,38,75,30,57,60,76,85,41
2021-12-01,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 01/12/2021,1NU-7NU-4NU-5NU-10NU-9NU,12,45,38,21,18,92,95,21,40,51,88,29,10,40,5,98,85,83,38,79,93,17,85,76,77,99,41
2021-12-02,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 02/12/2021,5NV-11NV-8NV-3NV-4NV-9NV,87,45,67,23,31,46,96,12,15,28,34,87,42,65,41,2,83,6,80,92,2,14,50,0,25,56,21
2021-12-03,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 03/12/2021,4NX-6NX-5NX-3NX-12NX-2NX,7,81,90,17,26,86,74,35,74,41,47,81,82,10,74,25,61,10,76,63,61,56,29,12,3,42,45
2021-12-04,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 04/12/2021,3NY-1NY-12NY-20NY-2NY-11NY-17NY-16NY,47,64,85,15,26,97,77,31,45,84,69,9,63,86,86,97,57,28,53,35,62,60,59,33,76,97,73
2021-12-05,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 05/12/2021,5NZ-15NZ-2NZ-13NZ-4NZ-9NZ,29,37,32,10,91,98,46,29,70,84,97,16,54,65,59,43,95,51,94,8,50,69,85,85,65,94,18
2021-12-06,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 06/12/2021,6PA-12PA-5PA-8PA-15PA-10PA,84,18,47,6,36,4,37,15,0,59,12,22,34,67,63,8,13,10,42,68,79,6,61,72,76,83,26
2021-12-07,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 07/12/2021,5PB-6PB-1PB-15PB-12PB-10PB,31,37,61,64,23,42,74,59,62,78,81,12,39,0,62,54,23,41,76,15,93,40,11,33,0,54,59
2021-12-08,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 08/12/2021,11PC-5PC-15PC-14PC-6PC-3PC,15,52,0,23,58,44,27,85,19,92,96,87,53,48,62,81,49,99,95,3,96,67,12,62,64,80,17
2021-12-09,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 09/12/2021,8PD-1PD-14PD-11PD-2PD-9PD,46,51,23,95,20,43,36,73,80,61,55,68,94,75,49,0,33,92,87,21,88,52,48,24,12,49,33
2021-12-10,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 10/12/2021,10PE-3PE-6PE-9PE-13PE-14PE,6,75,69,72,93,46,24,65,81,74,3,61,11,61,95,89,30,77,27,51,45,24,76,32,24,81,6
2021-12-11,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 11/12/2021,7PF-4PF-3PF-9PF-8PF-6PF,25,87,70,44,70,58,35,2,98,20,1,7,57,5,3,17,94,10,67,73,65,96,51,59,3,29,57
2021-12-12,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 12/12/2021,11PG-15PG-13PG-2PG-7PG-5PG,55,12,40,76,60,74,80,5,22,13,73,54,53,93,72,55,97,88,43,18,22,71,21,70,21,81,76
2021-12-13,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 13/12/2021,13PH-1PH-11PH-4PH-7PH-12PH,12,80,3,81,76,52,51,89,31,4,68,32,86,57,14,37,1,12,38,94,52,41,60,53,16,32,54
2021-12-14,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 14/12/2021,1PK-9PK-6PK-11PK-14PK-2PK,0,84,1,61,61,41,87,62,12,85,90,86,91,11,17,81,67,4,90,45,4,89,62,6,65,9,85
2021-12-15,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 15/12/2021,3PL-11PL-4PL-6PL-8PL-10PL,9,82,63,79,77,68,11,34,82,67,31,77,11,9,8,42,47,77,14,71,79,42,66,53,32,45,27
2021-12-16,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 16/12/2021,12PM-8PM-13PM-14PM-6PM-1PM,32,90,53,34,64,15,97,70,91,20,83,32,72,68,79,17,8,17,63,25,11,15,41,29,11,67,26
2021-12-17,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 17/12/2021,1PN-10PN-15PN-6PN-3PN-4PN,57,30,70,88,19,4,93,30,5,4,7,37,0,56,76,2,85,81,44,42,23,46,39,44,99,39,43
2021-12-18,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 18/12/2021,6PQ-5PQ-9PQ-1PQ-14PQ-8PQ,30,92,54,22,79,50,72,76,75,97,27,85,76,28,50,72,99,7,94,20,88,67,32,5,91,34,48
2021-12-19,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 19/12/2021,12PR-6PR-7PR-4PR-1PR-3PR,73,35,70,7,42,25,25,89,23,69,66,14,49,93,70,69,20,45,29,78,9,45,19,89,4,63,87
2021-12-20,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 20/12/2021,8PS-3PS-5PS-4PS-13PS-14PS,71,61,53,42,3,79,75,39,37,27,47,52,93,71,23,17,48,20,24,99,99,79,90,90,70,31,27
2021-12-21,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 21/12/2021,13PT-15PT-10PT-6PT-11PT-14PT,83,22,23,52,66,27,56,94,24,71,14,66,31,35,59,46,21,79,71,47,81,1,41,56,80,36,44
2021-12-22,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 22/12/2021,9PU-4PU-13PU-10PU-7PU-14PU,78,52,44,81,33,8,11,44,28,49,11,13,62,78,68,42,46,23,17,3,25,22,3,2,28,73,64
2021-12-23,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 23/12/2021,2PV-12PV-10PV-4PV-1PV-3PV,8,68,61,5,21,80,80,80,0,79,11,14,71,73,98,24,99,21,17,85,87,77,58,5,63,34,77
2021-12-24,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 24/12/2021,13PX-14PX-15PX-9PX-5PX-10PX,23,76,18,3,31,62,36,52,28,25,70,40,46,0,50,52,49,58,9,90,79,81,93,71,33,15,37
2021-12-25,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 25/12/2021,11PY-12PY-14PY-10PY-4PY-5PY,24,10,67,32,31,63,78,88,38,76,88,68,92,67,11,76,17,6,29,38,80,78,30,43,32,68,89
2021-12-26,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 26/12/2021,2PZ-10PZ-14PZ-1PZ-15PZ-9PZ,4,85,49,52,16,73,44,51,97,81,34,91,8,16,74,67,44,43,74,12,83,20,94,46,14,3,94
2021-12-27,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 27/12/2021,11QA-6QA-2QA-10QA-4QA-15QA,3,61,22,76,90,81,60,49,89,6,98,66,64,16,14,99,42,68,37,42,57,63,68,49,82,85,36
2021-12-28,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 28/12/2021,13QB-5QB-7QB-6QB-2QB-12QB,3,71,16,88,95,5,32,42,68,93,17,76,89,68,13,61,56,22,31,34,35,32,90,5,64,74,26
2021-12-29,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 29/12/2021,8QC-7QC-12QC-15QC-1QC-13QC,77,52,9,2,41,45,83,16,12,16,88,7,68,41,5,90,69,53,46,57,95,43,69,23,94,14,12
2021-12-30,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 30/12/2021,12QD-5QD-2QD-13QD-9QD-14QD,33,70,87,54,60,1,58,78,33,44,91,35,15,93,78,67,2,97,76,69,74,50,26,45,2,57,35
2021-12-31,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 31/12/2021,5QE-20QE-13QE-18QE-15QE-10QE-9QE-8QE,47,64,43,97,11,74,69,25,7,26,65,66,90,92,88,69,92,98,80,0,48,91,47,0,37,75,30
2022-01-01,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 01/01/2022,12QF-3QF-4QF-2QF-1QF-7QF,76,95,69,99,44,11,45,65,8,92,82,49,77,8,82,99,5,62,71,66,21,7,86,10,56,62,7
2022-01-02,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 02/01/2022,13QG-9QG-15QG-8QG-3QG-10QG,94,69,21,40,71,76,55,89,29,24,0,42,51,88,9,0,44,87,92,48,32,86,41,16,7,41,57
2022-01-03,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 03/01/2022,6QH-1QH-15QH-11QH-8QH-13QH-18QH-17QH,61,4,75,30,59,89,21,66,89,71,47,71,66,2,66,34,19,92,99,71,38,77,88,27,74,34,72
2022-01-04,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 04/01/2022,4QK-10QK-1QK-5QK-11QK-15QK,30,65,90,4,20,75,36,54,94,92,64,46,76,46,5,74,56,19,64,84,7,44,51,99,73,25,64
2022-01-05,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 05/01/2022,9QL-2QL-15QL-5QL-11QL-7QL,19,5,39,37,87,41,65,60,68,71,92,69,87,75,88,61,59,30,70,92,88,25,41,50,56,28,84
2022-01-06,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 06/01/2022,9QM-2QM-15QM-3QM-10QM-7QM,37,0,68,71,0,21,43,32,75,59,38,98,6,44,35,79,56,36,78,51,83,40,46,95,72,77,30
2022-01-07,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 07/01/2022,3QN-8QN-1QN-2QN-5QN-13QN,57,28,53,36,1,32,67,13,18,58,4,30,91,33,64,52,3,64,47,50,48,37,63,14,31,60,2
2022-01-08,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 08/01/2022,4QP-7QP-13QP-3QP-10QP-2QP,69,81,33,26,95,47,59,93,54,26,25,65,35,28,34,84,29,55,22,49,28,27,81,30,23,57,4
2022-01-09,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 09/01/2022,7QR-13QR-3QR-8QR-11QR-6QR,93,38,22,27,87,11,56,0,78,16,62,6,96,53,20,86,44,25,84,36,94,35,87,19,2,14,86
2022-01-10,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 10/01/2022,14QS-7QS-1QS-12QS-15QS-2QS,45,73,86,77,64,36,50,48,81,81,82,43,96,7,21,22,24,33,35,63,63,73,55,64,54,52,6
2022-01-11,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 11/01/2022,11QT-3QT-9QT-4QT-15QT-5QT,27,40,97,17,88,16,5,38,89,7,24,61,35,9,52,58,52,39,8,31,52,89,3,89,10,2,99
2022-01-12,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 12/01/2022,15QU-7QU-8QU-1QU-10QU-4QU,3,61,69,13,93,77,19,94,34,73,18,19,92,55,92,16,53,91,93,85,51,60,56,20,41,49,7
2022-01-13,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 13/01/2022,4QV-3QV-12QV-5QV-8QV-1QV,38,12,37,56,74,95,18,21,84,20,95,51,82,12,65,58,90,1,39,36,12,81,28,28,88,4,8
2022-01-14,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 14/01/2022,3QX-1QX-12QX-14QX-6QX-10QX,19,62,84,91,67,18,2,26,4,46,70,53,60,78,11,16,92,34,32,38,29,97,29,30,67,18,5
2022-01-15,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 15/01/2022,14QY-9QY-11QY-15QY-2QY-10QY,22,17,26,40,91,27,93,52,62,61,38,44,19,80,7,23,44,46,4,87,77,4,72,27,9,80,87
2022-01-16,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 16/01/2022,8QZ-14QZ-7QZ-10QZ-3QZ-1QZ,31,67,22,14,99,29,15,56,33,48,1,82,3,39,2,52,55,48,18,36,88,49,39,18,64,63,13
2022-01-17,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 17/01/2022,10RA-6RA-15RA-12RA-3RA-5RA,41,30,89,98,57,75,8,96,38,98,21,64,64,22,70,5,52,65,31,77,99,39,79,9,17,44,39
2022-01-18,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 18/01/2022,12RB-11RB-8RB-7RB-4RB-14RB,84,6,64,85,54,20,81,96,57,42,70,95,18,24,54,23,65,58,68,4,72,95,6,78,90,92,74
2022-01-19,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 19/01/2022,3RC-12RC-6RC-1RC-14RC-4RC,30,43,6,53,33,86,68,97,41,78,61,90,84,58,25,58,46,8,3,35,38,96,78,93,91,60,54
2022-01-20,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 20/01/2022,13RD-5RD-3RD-7RD-15RD-10RD,85,28,97,41,56,8,0,67,90,73,82,16,2,25,43,27,41,54,48,87,38,64,84,49,41,71,25
2022-01-21,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 21/01/2022,1RE-5RE-8RE-10RE-4RE-2RE,45,20,22,71,61,92,10,27,46,81,48,89,40,1,30,6,3,8,51,68,2,63,16,54,12,11,48
2022-01-22,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 22/01/2022,5RF-10RF-13RF-8RF-11RF-3RF,54,84,41,40,37,10,45,90,2,92,45,7,23,95,59,94,5,43,51,69,26,26,6,22,62,4,33
2022-01-23,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 23/01/2022,2RG-9RG-8RG-10RG-11RG-1RG,83,96,9,55,47,92,72,31,29,5,99,55,84,40,5,0,18,82,27,4,79,58,28,40,60,1,89
2022-01-24,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 24/01/2022,2RH-15RH-5RH-1RH-11RH-13RH,32,46,60,53,2,8,10,93,59,97,52,5,78,99,97,2,13,63,0,58,94,25,98,62,67,77,25
2022-01-25,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 25/01/2022,8RK-13RK-16RK-18RK-6RK-9RK-19RK-15RK,53,33,38,50,31,52,89,36,20,38,21,76,23,58,15,44,66,98,99,68,24,59,67,97,89,0,5
2022-01-26,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 26/01/2022,14RL-2RL-10RL-1RL-13RL-4RL,9,25,29,44,37,7,52,37,94,64,85,85,1,44,43,63,18,19,68,70,24,47,22,71,92,43,55
2022-01-27,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 27/01/2022,4RM-5RM-6RM-13RM-11RM-12RM,40,51,55,71,94,65,58,39,70,32,49,21,66,40,14,28,28,16,25,33,1,22,79,47,76,1,71
2022-01-28,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 28/01/2022,10RN-9RN-12RN-13RN-1RN-5RN,26,57,79,22,75,60,76,98,38,76,74,74,17,13,28,72,8,79,79,46,19,51,36,39,16,55,58
2022-01-29,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 29/01/2022,1RP-11RP-15RP-9RP-4RP-12RP,99,61,1,45,16,41,69,51,18,33,53,78,53,89,96,40,22,1,40,81,33,18,43,24,39,16,6
2022-01-30,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 30/01/2022,6RQ-10RQ-8RQ-9RQ-5RQ-4RQ,66,36,14,94,30,23,62,18,68,69,81,20,77,71,98,57,64,73,12,37,45,1,9,97,58,40,80
2022-02-04,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 04/02/2022,4RS-17RS-14RS-1RS-21RS-18RS-5RS-3RS-23RS-6RS,47,34,49,94,7,87,69,76,83,1,65,86,86,97,59,89,8,40,32,12,27,9,6,95,39,70,43
2022-02-05,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 05/02/2022,12RT-15RT-5RT-2RT-10RT-14RT,84,62,43,25,14,57,97,80,62,80,93,51,65,24,62,73,80,99,74,2,47,26,23,37,98,24,48
2022-02-06,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 06/02/2022,2RU-6RU-5RU-10RU-11RU-7RU,1,97,61,54,27,64,16,26,33,64,65,32,10,11,60,1,85,6,40,28,2,29,4,52,31,88,48
2022-02-07,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 07/02/2022,10RX-8RX-14RX-6RX-7RX-11RX,58,42,12,19,47,32,99,57,71,81,32,97,52,2,53,92,91,77,54,5,51,62,64,79,7,20,25
2022-02-08,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 08/02/2022,16RY-8RY-17RY-13RY-12RY-6RY-14RY-10RY,34,33,50,27,91,71,63,89,39,97,98,67,19,72,35,77,41,14,11,5,94,30,44,46,70,0,81
2022-02-09,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 09/02/2022,10RZ-4RZ-6RZ-9RZ-1RZ-3RZ,98,77,22,60,5,49,55,65,97,57,68,42,56,47,33,22,54,38,56,87,37,25,51,97,50,8,22
2022-02-10,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 10/02/2022,15SA-12SA-7SA-5SA-9SA-14SA-2SA-1SA,68,54,19,38,89,94,39,59,53,26,67,45,23,95,24,18,3,67,99,92,38,17,34,65,33,75,81
2022-02-11,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 11/02/2022,12SB-5SB-4SB-1SB-10SB-2SB,4,53,91,37,92,41,20,84,23,9,24,15,27,50,41,87,61,67,98,65,60,27,13,64,24,57,53
2022-02-12,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 12/02/2022,9SC-12SC-7SC-14SC-4SC-1SC,72,34,68,80,47,27,85,15,27,53,8,27,87,28,77,72,71,74,49,76,20,65,26,54,97,92,1
