date,thu,tinh,ngay_text,ky_hieu,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-01-31,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 31/01/2020,3BH-9BH-14BH-7BH-8BH-15BH,15,64,66,84,12,69,36,15,69,99,38,76,49,75,39,88,43,22,83,51,61,53,51,68,54,29,61
2020-02-01,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 01/02/2020,3BG-7BG-4BG,30,85,63,68,27,30,46,39,41,75,39,17,1,22,62,99,7,39,32,48,65,25,15,22,71,82,57
2020-02-02,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 02/02/2020,3BF-11BF-9BF,34,18,66,58,38,73,53,18,63,96,10,16,92,10,5,21,92,72,92,30,81,50,40,40,89,38,11
2020-02-03,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 03/02/2020,9BE-12BE-1BE,7,78,50,57,25,11,78,49,99,79,88,73,91,44,7,49,11,99,25,37,0,11,9,85,30,97,68
2020-02-04,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 04/02/2020,11BD-8BD-10BD,10,99,33,13,73,67,65,61,3,10,92,61,64,73,28,41,32,98,10,95,36,41,59,7,79,54,11
2020-02-05,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 05/02/2020,7BC-13BC-11BC,15,40,62,68,16,62,21,76,42,68,10,74,84,93,67,85,0,5,93,45,86,9,66,94,59,18,97
2020-02-06,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 06/02/2020,12BA-4BA-5BA,75,68,59,39,0,63,96,33,46,17,76,77,9,58,96,86,25,33,52,49,25,80,12,8,12,0,56
2020-02-07,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 07/02/2020,12CZ-14CZ-13CZ,73,7,39,96,82,28,95,53,26,90,6,72,79,2,74,59,43,48,21,43,18,19,49,40,71,18,12
2020-02-08,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 08/02/2020,11CY-4CY-2CY-19CY,91,12,88,40,0,56,65,39,81,91,20,31,25,30,2,78,97,71,51,42,54,16,41,15,59,64,52
2020-02-09,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 09/02/2020,14CX-12CX-1CX,47,43,0,8,81,39,61,23,94,51,78,15,60,68,71,47,92,17,66,9,73,43,17,4,78,48,87
2020-02-10,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 10/02/2020,12CV-13CV-1CV,45,6,19,21,78,84,60,77,62,57,2,59,96,98,41,78,26,1,2,76,84,97,25,69,99,64,83
2020-02-11,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 11/02/2020,2CU-10CU-6CU,96,52,63,5,94,63,96,16,5,54,37,97,11,55,33,64,94,11,36,86,68,94,93,70,3,36,84
2020-02-12,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 12/02/2020,8CT-7CT-9CT,47,97,38,77,48,19,44,54,65,81,96,80,59,49,61,29,55,97,22,64,68,43,62,64,71,47,49
2020-02-13,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 13/02/2020,12CS-8CS-14CS,32,8,23,36,73,34,54,69,30,89,13,31,69,85,22,56,96,77,13,24,28,6,6,5,29,76,7
2020-02-14,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 14/02/2020,7CR-2CR-11CR,55,2,63,90,4,12,74,69,5,83,41,89,99,83,92,5,25,88,62,44,69,88,21,34,68,33,70
2020-02-15,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 15/02/2020,10CQ-6CQ-7CQ,17,46,8,27,88,32,78,50,76,43,57,20,51,60,96,63,32,40,48,46,48,40,43,41,30,88,99
2020-02-16,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 16/02/2020,11CP-10CP-12CP,76,32,49,94,67,84,56,23,89,89,23,33,93,40,78,73,95,77,54,81,5,37,4,49,92,75,51
2020-02-17,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 17/02/2020,8CN-11CN-5CN,17,56,68,70,12,9,90,57,89,49,53,21,77,65,50,4,4,41,78,10,77,70,35,70,42,23,92
2020-02-18,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 18/02/2020,13CM-6CM-5CM,16,33,79,42,75,92,76,73,91,16,53,50,12,9,26,2,1,87,71,73,70,64,3,48,41,40,59
2020-02-19,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 19/02/2020,5CL-1CL-10CL,98,53,35,65,57,73,69,33,60,99,76,11,82,39,10,93,15,17,50,57,45,59,75,85,37,52,50
2020-02-20,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 20/02/2020,9CK-14CK-2CK,4,61,6,36,42,68,89,67,15,14,49,7,44,15,99,55,91,95,48,5,83,94,94,93,31,40,22
2020-02-21,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 21/02/2020,12CH-8CH-14CH,89,41,78,40,84,1,18,1,61,5,19,5,74,95,29,66,65,62,85,32,74,66,33,57,40,61,67
2020-02-22,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 22/02/2020,12CG-7CG-3CG,47,40,53,68,99,19,73,34,63,87,86,15,23,76,14,91,34,89,70,95,78,84,57,33,60,62,32
2020-02-23,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 23/02/2020,8CF-7CF-9CF,44,4,2,40,97,8,78,69,3,75,61,20,7,57,68,76,63,26,75,71,77,65,75,42,73,24,38
